scheme,model,subset,n,r,r2,rmse,mae,mb,nmb,slope,mean_obs
cluster,xgb_ratio,reference_all,791,0.7216999035993944,0.2188955352404029,23.049591068735943,13.566441321733922,5.37342763755923,0.171913608361146,0.8884960827158801,31.256557807053
cluster,xgb_ratio,ghana_north(>8N),278,0.7978758155391267,-0.7761834071504288,11.06347861707777,6.883181015936669,5.306235387786551,0.1834929263836189,1.4361589661339151,28.917928839900267
cluster,xgb_ratio,ghana_south(<=8N),18117,0.8095146501610831,0.5833890536009084,4.740966476142366,2.853786800117873,-0.8238652946228061,-0.0455054364021733,0.8525169287992813,18.1047663699245
cluster,xgb_ratio,harmattan(DJF),7078,0.7712066740412178,0.3369965889792203,11.66596268036948,5.763722967384657,0.0692546399853831,0.0023452685096595,0.9862865439843768,29.529514296610884
cluster,xgb_ratio,non_harmattan,26019,0.7785470285965235,0.5958858956583315,4.786687777369846,3.161467042036219,-0.483967457663442,-0.0269554015545996,0.6670339602090345,17.954377592303313
cluster,catboost,all,33097,0.8561087712646415,0.7277279889278583,5.497384156525994,3.389683592713045,-0.7262097741491621,-0.0355466049391784,0.7149050255160782,20.42979281401794
cluster,catboost,ghana,18395,0.8406889531320864,0.6740164643143081,4.26946287786854,2.7111425736565598,-0.5105821446199813,-0.0279492563128169,0.847631308690003,18.268183557565344
cluster,catboost,ghana_reference,155,0.8787346111259566,0.7521877668474791,5.422013408330299,3.803262420664413,-1.3832220236965431,-0.0643664592165381,0.7175898164429728,21.4897951593575
cluster,catboost,reference_all,791,0.7598743089273917,0.5765881324480575,16.97032571567076,10.75716561189997,0.2089554007596349,0.0066851699425611,0.556507039964731,31.256557807053
cluster,catboost,ghana_north(>8N),278,0.8595547806331295,0.7207292455857518,4.386928191444001,3.14052109933312,0.6035530228873861,0.0208712396461332,0.8361543832585846,28.917928839900267
cluster,catboost,ghana_south(<=8N),18117,0.8347389606510424,0.6624240570932368,4.267635220631734,2.704553887332218,-0.5276782188357481,-0.0291458176291257,0.8394393018932861,18.1047663699245
cluster,catboost,harmattan(DJF),7078,0.8331906357364762,0.6867551042024667,8.018713611693062,4.820794339633738,-1.2277020698418015,-0.0415754237441929,0.7028954322418711,29.529514296610884
cluster,catboost,non_harmattan,26019,0.7986145869942786,0.6304833356393058,4.577202334708008,3.000375707448252,-0.5897878336859428,-0.0328492497528164,0.6105061750451803,17.954377592303313
cluster,extratrees,all,33097,0.8650942042310706,0.733479067344043,5.439014906387882,3.357442597329595,-0.897117314253638,-0.0439122081374256,0.6726832999018368,20.42979281401794
cluster,extratrees,ghana,18395,0.8554287959857878,0.7196486283736842,3.959376047644823,2.542751226989046,-0.5629516188940608,-0.0308159602798017,0.8004185062754029,18.268183557565344
cluster,extratrees,ghana_reference,155,0.8811918344159838,0.7152672343364461,5.811897412306921,4.059540530190235,-2.275807735193433,-0.1059017881891004,0.6596857017002218,21.4897951593575
cluster,extratrees,reference_all,791,0.7682193346349716,0.5838333341592041,16.824505569990716,10.412009822773417,-0.5263091321838896,-0.0168383587032455,0.5310511792921827,31.256557807053
cluster,extratrees,ghana_north(>8N),278,0.9191005269536202,0.6404397666990247,4.977756214935192,3.842765750264932,3.027020507185324,0.1046762554795664,1.0902362852685004,28.917928839900267
cluster,extratrees,ghana_south(<=8N),18117,0.8503734521641154,0.7120188340849294,3.941700194806969,2.5228028891035965,-0.6180386780677689,-0.0341367938939245,0.7771605407655688,18.1047663699245
cluster,extratrees,harmattan(DJF),7078,0.8410259201810888,0.6874735742804875,8.00951232350894,4.707800211131245,-1.698667032172566,-0.0575243810348591,0.6433067035900616,29.529514296610884
cluster,extratrees,non_harmattan,26019,0.8138025227503259,0.6440972946805168,4.492093021348347,2.990102146486439,-0.6790701601189608,-0.0378219827798466,0.5807153706154166,17.954377592303313
cluster,stack,all,33097,0.866647480290225,0.7497128684961522,5.2707673542073765,3.357434954547164,0.319075667966711,0.0156181548619414,0.7327393670238704,20.42979281401794
cluster,stack,ghana,18395,0.8529320484447268,0.6949378463681388,4.130185663046095,2.746440500762092,0.4891438479022099,0.0267757243822767,0.8709186922771708,18.268183557565344
cluster,stack,ghana_reference,155,0.8813255662180873,0.769761381257268,5.226227395383578,3.707954423774038,-0.6861896859704147,-0.0319309551757928,0.7284280490126092,21.4897951593575
cluster,stack,reference_all,791,0.77222856290155,0.5918107970156703,16.662471562001933,10.62220759538107,1.5730924951032077,0.0503283984376629,0.5733261275417743,31.256557807053
cluster,stack,ghana_north(>8N),278,0.9089047917271832,0.6023053227430746,5.235072321021345,4.122347396878202,3.5399677772121065,0.1224142917292107,1.0122823799969154,28.917928839900267
cluster,stack,ghana_south(<=8N),18117,0.8466634649725724,0.6867618074722096,4.110918819712532,2.725327616889471,0.4423298581495935,0.0244316799848016,0.8545375872208605,18.1047663699245
cluster,stack,harmattan(DJF),7078,0.8437820145682883,0.7118516984169727,7.690786112956947,4.684686063502951,0.1521387414733914,0.005152090885926,0.7103604878775852,29.529514296610884
cluster,stack,non_harmattan,26019,0.815343493539377,0.66051404010533,4.387266392148485,2.996380211890296,0.3644878500536367,0.0203007789147692,0.6289857383914754,17.954377592303313
cluster,stack_rk,all,33097,0.866647480290225,0.7497128684961522,5.2707673542073765,3.357434954547164,0.319075667966711,0.0156181548619414,0.7327393670238704,20.42979281401794
cluster,stack_rk,ghana,18395,0.8529320484447268,0.6949378463681388,4.130185663046095,2.746440500762092,0.4891438479022099,0.0267757243822767,0.8709186922771708,18.268183557565344
cluster,stack_rk,ghana_reference,155,0.8813255662180873,0.769761381257268,5.226227395383578,3.707954423774038,-0.6861896859704147,-0.0319309551757928,0.7284280490126092,21.4897951593575
cluster,stack_rk,reference_all,791,0.77222856290155,0.5918107970156703,16.662471562001933,10.62220759538107,1.5730924951032077,0.0503283984376629,0.5733261275417743,31.256557807053
cluster,stack_rk,ghana_north(>8N),278,0.9089047917271832,0.6023053227430746,5.235072321021345,4.122347396878202,3.5399677772121065,0.1224142917292107,1.0122823799969154,28.917928839900267
cluster,stack_rk,ghana_south(<=8N),18117,0.8466634649725724,0.6867618074722096,4.110918819712532,2.725327616889471,0.4423298581495935,0.0244316799848016,0.8545375872208605,18.1047663699245
cluster,stack_rk,harmattan(DJF),7078,0.8437820145682883,0.7118516984169727,7.690786112956947,4.684686063502951,0.1521387414733914,0.005152090885926,0.7103604878775852,29.529514296610884
cluster,stack_rk,non_harmattan,26019,0.815343493539377,0.66051404010533,4.387266392148485,2.996380211890296,0.3644878500536367,0.0203007789147692,0.6289857383914754,17.954377592303313
site,cams_raw,all,33097,0.7054315203221526,0.0618642459615442,10.204398985188387,7.804268349199016,-6.561420308393297,-0.3211692046084367,0.652023355505275,20.42979281401794
site,cams_raw,ghana,18395,0.707443746609052,-0.4140637169719707,8.892213845787778,7.277168614480545,-6.617052153156787,-0.3622173015891603,0.757026775562755,18.268183557565344
site,cams_raw,ghana_reference,155,0.8718707228003637,0.1052922171746849,10.302433600048351,8.600983160477462,-8.429852233996606,-0.3922723400332608,0.5541199756661259,21.4897951593575
site,cams_raw,reference_all,791,0.7695630017038074,0.5351436824334133,17.78148523487426,12.255329532375534,-5.163656644108539,-0.1652023449281855,0.6951374118925192,31.256557807053
site,cams_raw,ghana_north(>8N),278,0.6366754091848444,-3.4516446190581656,17.514915235077225,16.023586914389938,-12.403241362644366,-0.4289118156183672,1.2168572402696112,28.917928839900267
site,cams_raw,ghana_south(<=8N),18117,0.7139989944078232,-0.4008422573503258,8.693530117688267,7.142957415751462,-6.528264793205495,-0.36058265872186,0.7578512837047343,18.1047663699245
site,cams_raw,harmattan(DJF),7078,0.714814620261073,0.1187681158073232,13.449551507212606,10.311951253972731,-7.601250937681191,-0.257411986574855,0.7488049262724843,29.529514296610884
site,cams_raw,non_harmattan,26019,0.5439263274403804,-0.4682827691841866,9.124056111772584,7.122098411845991,-6.278553126945135,-0.3496948359622683,0.4385984074213592,17.954377592303313
site,cams_linear,all,33097,0.7068627079910575,0.3226000896761049,8.671159089638245,4.487861848434068,-0.4460312328749963,-0.0218323913969872,0.7955784286612184,20.42979281401794
site,cams_linear,ghana,18395,0.7005771110071135,0.4267311430912269,5.661800773862515,3.2913927513978893,-0.3032361059705417,-0.0165991383333217,0.6658582879835326,18.268183557565344
site,cams_linear,ghana_reference,155,0.8738438977003712,0.5818212833728647,7.04336474666643,4.674370230786677,-2.5214082950465926,-0.1173304946068168,0.4507336519992346,21.4897951593575
site,cams_linear,reference_all,791,0.5834796811296372,-0.39325560157018,30.78393005662528,17.558815390599694,6.090934043489071,0.1948689961667711,0.8213008317022942,31.256557807053
site,cams_linear,ghana_north(>8N),278,0.7327768598290527,-10.720143536758528,28.419357926045176,14.808549866348947,9.574631304201656,0.331096717099283,2.8457101446663184,28.917928839900267
site,cams_linear,ghana_south(<=8N),18117,0.7966600627784817,0.6264312277543714,4.4893847660698345,3.1146653860528324,-0.4548090562397844,-0.0251209569318336,0.58181078866514,18.1047663699245
site,cams_linear,harmattan(DJF),7078,0.6634843972656264,-0.1502538423171411,15.365954671857631,7.640651328727428,-1.2950792913277935,-0.0438571145572966,0.9465047190818072,29.529514296610884
site,cams_linear,non_harmattan,26019,0.689202790881999,0.4459635805631698,5.60469847742144,3.630202294203837,-0.2150630112781288,-0.0119783050218528,0.5907806914061152,17.954377592303313
site,paperlike_gbdt,all,33097,0.8545422675444942,0.7272006891601619,5.502704878344058,3.405560798889968,-0.5739786527030345,-0.0280951773680836,0.7375772298221999,20.42979281401794
site,paperlike_gbdt,ghana,18395,0.8545944516330672,0.6813513778392244,4.221156279730456,2.61767256105561,0.343513999476332,0.018803949412588,0.9153469914644652,18.268183557565344
site,paperlike_gbdt,ghana_reference,155,0.876689054271784,0.7397604483578646,5.556302317254658,3.945957596559861,-1.562824617325413,-0.0727240350936941,0.6890274857077356,21.4897951593575
site,paperlike_gbdt,reference_all,791,0.7918112435065343,0.601462758406226,16.46429428012007,9.873650791523334,-2.3883689935610044,-0.0764117727967496,0.5233747832295468,31.256557807053
site,paperlike_gbdt,ghana_north(>8N),278,0.8430959786767624,-0.0725298355811763,8.597110079730085,6.5835610537143525,5.87961661425261,0.2033208065074168,1.158278655364413,28.917928839900267
site,paperlike_gbdt,ghana_south(<=8N),18117,0.8514073360189262,0.6856906685020674,4.11794160217931,2.5568171765571206,0.2585641442625656,0.0142815510004089,0.8907869837604498,18.1047663699245
site,paperlike_gbdt,harmattan(DJF),7078,0.8311474190947885,0.6871652518468805,8.013462235188925,4.722994625128886,-0.1447077152641246,-0.0049004434617718,0.7402489436256875,29.529514296610884
site,paperlike_gbdt,non_harmattan,26019,0.8023777068193001,0.6287662909039669,4.587824524598487,3.047176671055728,-0.6907540743254106,-0.0384727385159551,0.5784855077203612,17.954377592303313
site,lgbm,all,33097,0.8841070130287454,0.7793860069134262,4.948471969647296,2.958378887019681,-0.4989275034049864,-0.02442156452329,0.7852399294380357,20.42979281401794
site,lgbm,ghana,18395,0.8991437660524965,0.8034534607061855,3.315187601697516,2.0381238393583443,-0.1950342412631842,-0.0106761704385445,0.8675969133695807,18.268183557565344
site,lgbm,ghana_reference,155,0.8750880537791784,0.7365168155340669,5.590822037992665,3.815953988745863,-1.5814525163035462,-0.0735908604328841,0.686632305771453,21.4897951593575
site,lgbm,reference_all,791,0.7784770477150659,0.6048278803293353,16.39463729148742,10.359372852515756,0.79734140607334,0.0255095718151478,0.6186737235729957,31.256557807053
site,lgbm,ghana_north(>8N),278,0.9148424841938932,0.4667112373789052,6.062182586137803,4.636761272137781,4.126392248758625,0.1426932153960185,1.1579683826427087,28.917928839900267
site,lgbm,ghana_south(<=8N),18117,0.8981305548829214,0.8036160976932704,3.2550262013376408,1.9982485174886813,-0.2613452510454917,-0.014435162857425,0.844278822578585,18.1047663699245
site,lgbm,harmattan(DJF),7078,0.8650264082502943,0.7459517031524232,7.221390748666785,4.135558734944083,-0.5538201498321739,-0.0187548005114237,0.7731132487618596,29.529514296610884
site,lgbm,non_harmattan,26019,0.8397700461465943,0.7008231514959666,4.118576032852181,2.6381483261369065,-0.4839949482948118,-0.0269569326926872,0.691698764822589,17.954377592303313
site,xgb_ratio,all,33097,0.8520082568666528,0.6992145750178431,5.778072421127771,3.267114628063925,-0.2913882716808424,-0.0142629087986103,0.8631378055697829,20.42979281401794
site,xgb_ratio,ghana,18395,0.8748543980406898,0.7546585701480099,3.703913663001092,2.3424780167615453,-0.3219605730642232,-0.0176241152848987,0.8477083008169909,18.268183557565344
site,xgb_ratio,ghana_reference,155,0.8572138579979197,0.6732751043074872,6.2257306946570345,4.197255566535281,-2.205939256737585,-0.1026505483360567,0.612017942588113,21.4897951593575
site,xgb_ratio,reference_all,791,0.7461429015386197,0.4527764683559475,19.292612748549885,11.856237246586613,3.307512696424409,0.1058182003546812,0.7779062625495484,31.256557807053
site,xgb_ratio,ghana_north(>8N),278,0.8523217498614055,-0.0509675478542106,8.510252571116675,5.950772993248276,4.713798997058559,0.1630061068050825,1.3013632462293336,28.917928839900267
site,xgb_ratio,ghana_south(<=8N),18117,0.876691538378541,0.7624130590491632,3.580245676025242,2.287109798874295,-0.3992328124247207,-0.0220512545849762,0.8183415919927924,18.1047663699245
site,xgb_ratio,harmattan(DJF),7078,0.8142727097430895,0.5688782248122313,9.407249895060712,4.918784211245881,-0.0045350293310616,-0.0001535761572476,0.9129059932787064,29.529514296610884
site,xgb_ratio,non_harmattan,26019,0.8254205564076158,0.6755715949822747,4.288866539087244,2.8178076866072246,-0.3694215262006837,-0.0205755685097681,0.7290258913915175,17.954377592303313
site,catboost,all,33097,0.8811876829621308,0.7744633299902757,5.003376320450289,2.874717490007296,-0.4282029227951959,-0.0209597290923764,0.7935894657258061,20.42979281401794
site,catboost,ghana,18395,0.90146571870712,0.8100424644574831,3.259144920311527,2.0000883482380885,-0.2320200831684246,-0.0127007746795022,0.8490941907154373,18.268183557565344
site,catboost,ghana_reference,155,0.8827694537754234,0.7464534125637736,5.484387109050657,3.6804511807281415,-1.4574219955729848,-0.067819259549264,0.6714409214418697,21.4897951593575
site,catboost,reference_all,791,0.7207558234309643,0.4908368016271109,18.60960553931992,11.54940041770712,2.217188536566146,0.0709351474417903,0.6249871723567331,31.256557807053
